danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.715,0.715,-7.364,0.0904,0.0526,0.0,0.0936,0.506,134.923,72FNf7DAlWLmuHiLTBcNHY,238747,2
0.684,0.834,-4.524,0.0675,0.0646,0.0,0.271,0.538,164.02,5A6OHHy73AR5tLxgTc98zz,217667,2
0.667,0.858,-2.268,0.0926,0.0367,1.47e-05,0.325,0.641,133.039,3uSnUpgvjIBk3PtwR0L5M6,184295,2
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690,5
0.822,0.683,-5.465,0.0861,0.481,0.0,0.101,0.53,145.045,5CGPOGyyF3XvyQwyqlJH0P,193025,2
0.638,0.442,-10.121,0.052,0.0993,0.00344,0.173,0.376,138.859,5reUV4Jv5GBY1W15E4J9w9,155598,5
0.398,0.905,-3.613,0.389,0.00159,0.0435,0.303,0.224,199.807,05XSqqW6L4WuQV55Er1jZd,126000,4
0.247,0.955,-1.739,0.103,0.368,0.000708,0.0797,0.112,153.91,05kWHB3BEfFsP4ti1x6IWY,223659,5
0.789,0.609,-7.317,0.0434,0.0188,0.0,0.069,0.446,99.056,1t1VvjY7al80AdEoAQ3kPN,161212,2
0.627,0.745,-6.621,0.195,0.0519,0.00019,0.372,0.526,137.974,4G5GEqZuf5mB0mhl4Iq3bR,145666,2
0.696,0.707,-7.109,0.184,0.0749,0.0,0.0584,0.363,134.052,7cKu5FWlW7yEmwyN0JRGOS,156716,5
0.7,0.854,-5.436,0.0879,0.0877,0.0344,0.453,0.172,137.943,4MUMWxe9088SuTFKpprQ57,160000,5
0.629,0.736,-6.79,0.0488,0.3,6.58e-06,0.158,0.311,125.261,6J07Aeq7fOW5Xx9mFtwyoH,178721,5
0.775,0.713,-5.422,0.3,0.105,0.325,0.0918,0.299,125.934,2v0d2zo4bgHkge4B1O6e3c,158571,4
